Regional;Distrito;Centros;Sector;Nivel;Coordenadas Latitud;Coordenadas Longitud;Matricula;Planta Fisica;Provincia;Municipio;Año
10 - SANTO DOMINGO;1005 - BOCA CHICA;15638 - CRISTIANO ALFALICITOS;PRIVADO;INICIAL - PRIMARIO;18.464801,;-69.730205;430;32015553 - CRISTIANO ALFALICITOS;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15697 - CENTRO EDUCATIVO PARA SORDOS SAN ANDRES (CESSA);PÚBLICO;INICIAL - PRIMARIO;18.447573,;-69.651088;22;32033267 - ESCUELA DE SORDOS - SAN ANDRES;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15803 - CENTRO EDUCATIVO EMANUEL;PRIVADO;INICIAL - PRIMARIO;,;;225;32045651 - CENTRO EDUCATIVO EMANUEL;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15805 - CENTRO EDUCATIVO PIAGET TIA FRANCIA;PRIVADO;INICIAL - PRIMARIO;18.461671,;-69.696535;167;32045653 - CENTRO EDUCATIVO PIAGET TIA FRANCIA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15818 - JARDIN DE NIÑOS EVENEZER;PRIVADO;INICIAL - PRIMARIO;18.450825,;-69.614612;36;32045666 - JARDIN DE LOS NIÑOS EVENEZER;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;16674 - COLEGIO PSICOPEDAGOGICO SORIANGEL;PRIVADO;INICIAL - PRIMARIO;18.446164,;-69.641458;283;32046107 - COLEGIO PSICOPEDAGOGICO SORIANGEL;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;16675 - CENTRO DE DESARROLLO INTEGRAL COMUNITARIO LUZ Y VIDA;PRIVADO;INICIAL - PRIMARIO;18.504079,;-69.672582;70;32056106 - CENTRO DE DESARROLLO INTEGRAL COMUNITARIO LUZ Y VIDA;SANTO DOMINGO;SAN ANTONIO DE GUERRA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;16676 - CENTRO DE ENSEÑANZA SADERY;PRIVADO;INICIAL - PRIMARIO;18.468656,;-69.729388;221;32016108 - CENTRO DE ENSEÑANZA SADERY;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;16817 - COLEGIO CRISTIANO EVEREST;PRIVADO;INICIAL - PRIMARIO;18.466328,;-69.676305;36;32046196 - COLEGIO CRISTIANO EVEREST;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;16818 - COLEGIO DIOS ME RESPALDA;PRIVADO;INICIAL - PRIMARIO;18.458984,;-69.63511;465;32046195 - COLEGIO DIOS ME RESPALDA;SANTO DOMINGO;BOCA CHICA;20232024
